Date,Open,High,Low,Close,Volume
2020-01-02,5.928333669430895,5.957137107849121,5.877927533796915,5.957137107849121,237536000
2020-01-03,5.83770244367291,5.905490488683201,5.812871628462756,5.861788272857666,205384000
2020-01-06,5.768671880034795,5.89158365585585,5.7425997425707305,5.886369228363037,262636000
2020-01-07,5.91467674815212,6.003322495503562,5.86973321074161,5.957633972167969,314856000
2020-01-08,5.953411633552689,6.010025817624691,5.91343436040509,5.968806743621826,277108000
2020-01-09,6.054970904760999,6.106618845916107,5.980727107752627,6.034361362457275,255112000
2020-01-10,6.141382428610203,6.171675845067106,6.052488493024343,6.066641807556152,316296000
2020-01-13,6.149576480886754,6.281923983662668,6.126980149927382,6.256844997406006,319840000
2020-01-14,6.214136170566636,6.2394638021876485,6.126980379230819,6.140141010284424,359088000
2020-01-15,6.152802399398932,6.175150079684374,6.071854219450912,6.097678184509277,263104000
2020-01-16,6.1510665656595895,6.187071227811606,6.1277257200512425,6.181111812591553,284192000
2020-01-17,6.200229116867411,6.207678501568275,6.142373602488057,6.189800262451172,253792000
2020-01-21,6.1533008348531135,6.190050478993046,6.122510605265829,6.156528949737549,217916000
2020-01-22,6.201720357984873,6.2968218681187,6.182848958433113,6.210411071777344,239240000
2020-01-23,6.250388482356197,6.287137649039151,6.161742732978473,6.278695106506348,244516000
2020-01-24,6.393911810141447,6.443573450537404,6.165469116815355,6.219600200653076,373512000
2020-01-27,5.915671727926478,6.015243176850921,5.766439113572667,5.9643402099609375,470536000
2020-01-28,6.0301406941602735,6.189553975862552,5.977002775723372,6.15727424621582,310976000
2020-01-29,6.142870530853688,6.178875180492705,6.057204262843044,6.096933841705322,258848000
2020-01-30,5.999348676845142,6.117046493141974,5.944473105422862,6.1036376953125,290504000
2020-01-31,6.057952095799293,6.069870927698751,5.82901305469723,5.870728492736816,370420000
2020-02-03,5.852599959031598,5.98693422980452,5.846392374463058,5.96756649017334,255564000
2020-02-04,6.1091010630333695,6.155534568985658,6.059191272083939,6.136414527893066,271544000
2020-02-05,6.257093118185327,6.267273804534784,6.143368372698854,6.226551532745361,208220000
2020-02-06,6.260817558047638,6.3132100105285645,6.179869362419789,6.3132100105285645,218284000
2020-02-07,6.273233532588743,6.295333049251141,6.221833756661078,6.247161388397217,189752000
2020-02-10,6.269756755214002,6.530479123908256,6.264790497583461,6.5297346115112305,529608000
2020-02-11,6.637748408041317,6.766371455351388,6.575919776508791,6.651901721954346,638556000
2020-02-12,6.704542714595026,6.773820731779094,6.66580675646444,6.767364501953125,374644000
2020-02-13,6.709508110864326,6.790704473225048,6.682194170230948,6.723661422729492,528016000
2020-02-14,7.132871714549635,7.324316519639701,7.101585147569159,7.195693492889404,1041924000
2020-02-18,7.092646240797741,7.382421154368142,7.073278500086372,7.364046096801758,620164000
2020-02-19,7.486213518147479,7.831857176120988,7.486213518147479,7.814227104187012,694332000
2020-02-20,7.76630358951414,7.854452522643423,7.358583160433912,7.665242671966553,810052000
2020-02-21,7.553257158608696,7.578336145082304,7.217297345134649,7.3019700050354,768180000
2020-02-24,6.709011544937188,6.999034626035026,6.654632306032912,6.785738468170166,856916000
2020-02-25,6.860728377866259,6.922557012925543,6.40533302083709,6.506890773773193,1055496000
2020-02-26,6.50713847933115,6.839622002158671,6.505648980883391,6.645942211151123,747732000
2020-02-27,6.333134697199436,6.6337662913052915,6.183812887697738,6.275990009307861,906416000
2020-02-28,6.024056858575295,6.769423944264948,6.007410467266816,6.710042953491211,1133252000
2020-03-02,6.879738703863825,6.896882208415457,6.484694089276187,6.868061065673828,890744000
2020-03-03,6.923715627771662,6.983344943140282,6.520968837432035,6.606189250946045,652792000
2020-03-04,6.713272364670828,7.0782537123650755,6.63873537880808,7.068812370300293,597408000
2020-03-05,6.8697998032135255,7.03626513615308,6.7455719569568915,6.790045738220215,540328000
2020-03-06,6.610908530328439,6.668302014749807,6.410156205287758,6.609914779663086,515412000
2020-03-09,5.960452643701263,6.444941485450852,5.917718514026595,6.098097324371338,614160000
2020-03-10,6.373883391447351,6.486682415008545,6.1117629836396725,6.486682415008545,580648000
2020-03-11,6.347049469826052,6.375373500467724,6.02679016858534,6.123687744140625,499964000
2020-03-12,5.601681521561961,5.86653526687341,5.361673438486858,5.374344825744629,816540000
2020-03-13,5.726905159414291,5.988280634003202,5.456337132448399,5.983808517456055,634836000
2020-03-16,5.277449252515875,5.6175855746941545,4.8200422407875925,4.879671573638916,726972000
2020-03-17,4.991723260570334,5.48739257970352,4.745503860622238,5.398196697235107,833632000
2020-03-18,4.971598580707773,5.2160788021116335,4.489097754797849,5.039178371429443,874268000
2020-03-19,5.0178107182895655,5.384780054624083,4.804884586490451,5.291360855102539,765512000
2020-03-20,5.441179660332024,5.7224315012787486,5.096571825269619,5.111976146697998,804636000
2020-03-23,5.110983586980154,5.378570849851826,4.932343917066287,5.284405708312988,643876000
2020-03-24,5.689635972329596,6.277482494566809,5.666032849202426,6.191019535064697,1101644000
2020-03-25,6.305805593471,6.505067080541429,6.053871523402629,6.102569103240967,793432000
2020-03-26,6.309283148194227,6.515004699825906,6.211391836527386,6.3912739753723145,696108000
2020-03-27,6.211392945580001,6.53736691560444,6.178596798409605,6.279221534729004,638828000
2020-03-30,6.344565416561682,6.60792883445587,6.3005887404953445,6.598735809326172,602252000
2020-03-31,6.638737263039747,6.842471369775912,6.403946662410681,6.549293518066406,949960000
2020-04-01,6.351769813017478,6.4978615949247445,5.994738920187565,6.039212226867676,656912000
2020-04-02,6.0682825701850485,6.36046665043996,6.020330892045501,6.347298622131348,675764000
2020-04-03,6.309782657987004,6.351274725727074,5.922937224558074,6.060084819793701,663212000
2020-04-06,6.341583273592423,6.705322589635028,6.284189783712524,6.668550968170166,727884000
2020-04-07,6.889677611131811,6.9132812099097904,6.39276612718909,6.435749053955078,784520000
2020-04-08,6.544573977472088,6.657373025581628,6.474757865170802,6.6325273513793945,542444000
2020-04-09,6.75799563614717,6.780853326872135,6.47028368318691,6.533143043518066,525564000
2020-04-13,6.4735117196256295,6.713271448048173,6.385310081928005,6.704575538635254,398408000
2020-04-14,6.832531266209441,7.088937428093513,6.804952670297664,7.054899215698242,530948000
2020-04-15,6.887192650096263,7.060366418638952,6.841973904473054,6.977630615234375,366148000
2020-04-16,7.132666503087581,7.42882556643318,7.119498475685138,7.3219895362854,745620000
2020-04-17,7.4039809765502635,7.425348280462446,7.129189174090118,7.2628583908081055,539120000
2020-04-20,7.136641723005758,7.2921748539610265,7.087695825238775,7.13192081451416,449388000
2020-04-21,7.0141527743230325,7.075272471908903,6.636500013605862,6.696129322052002,735160000
2020-04-22,6.88793701048303,7.152294134687176,6.842469952682461,7.109559535980225,483356000
2020-04-23,7.151548667594547,7.283229879784153,7.031295825709126,7.056389808654785,424160000
2020-04-24,7.04620405491623,7.197016283498686,6.971667057923223,7.195028781890869,352328000
2020-04-27,7.32919543452104,7.540631210935533,7.30459808693572,7.381122589111328,479388000
2020-04-28,7.5282088970585805,7.558023795022882,7.233540652145725,7.239006519317627,442904000
2020-04-29,7.373420867111231,7.468082631149315,7.298387223684967,7.415410041809082,379160000
2020-04-30,7.361493250975886,7.4154083722328785,7.2479492974371595,7.261862754821777,375916000
2020-05-01,7.0648386704493875,7.177886010573314,6.977630749433313,7.02583122253418,342096000
2020-05-04,6.978624046997186,7.250931680845557,6.978624046997186,7.237266540527344,317556000
2020-05-05,7.341122501683508,7.460381151792278,7.23726770291976,7.298139572143555,368896000
2020-05-06,7.377396825937487,7.503363884357336,7.339631445560252,7.398763656616211,323464000
2020-05-07,7.537649417392085,7.6377770415196595,7.486467694868089,7.574669361114502,373732000
2020-05-08,7.646224187677115,7.77045203954479,7.612434291582904,7.764240741729736,339216000
2020-05-11,7.759272663656854,8.062388970419114,7.730700310360557,8.015679359436035,469060000
2020-05-12,8.073320725621777,8.122017838593292,7.7446137913889,7.754303455352783,493060000
2020-05-13,7.868593117853469,8.028598386935984,7.5478366741451675,7.731942653656006,625852000
2020-05-14,7.793310708554394,7.986360909028499,7.640013385344732,7.980895042419434,602312000
2020-05-15,7.841014174290787,8.447991229472853,7.825361531965535,8.438302040100098,987660000
2020-05-18,8.706384284090324,8.861420771854155,8.626878538742194,8.696197509765625,774460000
2020-05-19,8.735947404468702,9.031360915832611,8.708617136112457,8.751103401184082,717320000
