Date,Open,High,Low,Close,Volume
2020-01-02,294.18244866671154,295.40995713786896,293.26408574966416,295.3917541503906,59151200
2020-01-03,292.01845232203294,294.27343102956564,291.96389884711743,293.155029296875,77709700
2020-01-06,291.4092110411044,294.3552371881082,291.29100260562666,294.2734069824219,55653900
2020-01-07,293.70958866181826,294.1824223186019,293.0003659250968,293.4459228515625,40496400
2020-01-08,293.63695478138766,296.21925449633176,293.3914641292551,295.00994873046875,68296000
2020-01-09,296.56472466503584,297.08301036305517,295.98278400442655,297.01025390625,48473300
2020-01-10,297.59219676942917,297.74675568148257,295.69184361108466,296.1555480957031,53029300
2020-01-13,296.77384567647033,298.20136500493834,296.34649170275594,298.1922912597656,47086800
2020-01-14,297.7558156184295,298.8014606220253,297.1829765277459,297.7376403808594,62832800
2020-01-15,297.64680703898097,299.1652584571871,297.56497682019716,298.41058349609375,72056600
2020-01-16,299.78349174098173,300.8927917480469,299.5561763932098,300.8927917480469,54050300
2020-01-17,301.6019998488349,302.03842753631125,300.82912215432333,301.8293151855469,95846000
2020-01-21,300.8745212896598,302.038374499318,300.80179260400274,301.23822021484375,77742400
2020-01-22,302.09304908519476,302.7386447658529,301.1201603136158,301.27471923828125,48914900
2020-01-23,300.62911709140155,302.02938749135257,299.51981701453644,301.6202087402344,51963000
2020-01-24,302.27486782213623,302.3566980198879,297.6558042825811,298.9378662109375,87578400
2020-01-27,293.7187336425929,295.61908679865473,293.3823113360426,294.1460876464844,84062500
2020-01-28,295.5645211349526,298.1013683192747,294.23700720360983,297.2284851074219,63834000
2020-01-29,298.5833109094205,298.81062629591605,296.78296305892985,296.9830017089844,53888900
2020-01-30,294.92805295887075,298.155948000126,294.1824796021824,297.9468078613281,75491800
2020-01-31,297.3285417837924,297.4831284643793,291.6274815683934,292.5367431640625,113845600
2020-02-03,294.0097783777118,296.5648015533711,293.89156991609985,294.70989990234375,69083000
2020-02-04,298.3014390790439,300.06540868055777,297.9831919914277,299.20159912109375,62573200
2020-02-05,302.120399235468,302.86600054873855,300.66560259787417,302.6568603515625,65951100
2020-02-06,303.611485421549,303.866077510334,302.6021908116986,303.6751403808594,50359700
2020-02-07,302.6204088136821,303.6842291934215,301.5111087114118,302.0566711425781,64139400
2020-02-10,301.1748004532797,304.3753920471197,301.1384222111712,304.3117370605469,42070000
2020-02-11,305.65741077579145,306.43936250413543,304.31169349511373,304.8390808105469,54864500
2020-02-12,306.2665508261337,307.0121519449544,305.9028517615865,306.80303955078125,43992700
2020-02-13,305.3844917782627,307.439431228602,305.1117244832855,306.4756164550781,54501900
2020-02-14,306.88484460300674,307.084883234379,305.6937143088903,306.9666748046875,64582200
2020-02-18,305.9755900262363,307.030336674616,304.7935334511837,306.1756286621094,57226200
2020-02-19,307.1393827157299,308.3123098154446,306.8575139322214,307.63946533203125,48814700
2020-02-20,307.0939679878166,307.91232553087383,303.4023685434506,306.37567138671875,74163400
2020-02-21,305.0299414355744,305.3390870004765,302.40216251122024,303.22052001953125,113788200
2020-02-24,293.81879296639795,303.2932828550101,292.0911738086347,293.16412353515625,161088400
2020-02-25,294.5462110971591,295.15540084278814,283.40775626371243,284.2806396484375,218913200
2020-02-26,285.671768973568,289.2451599784566,282.5075567395727,283.2349548339844,194773800
2020-02-27,277.7429227487086,283.2894217055926,270.5143127441406,270.5143127441406,284353500
2020-02-28,262.5037634964114,270.8598775435434,259.63049429346006,269.3777770996094,384975800
2020-03-02,271.1508409072188,281.1072645783154,267.7411105744401,281.0436096191406,238703600
2020-03-03,281.4163813351624,285.36257217334344,270.5689003394488,272.9966125488281,300139100
2020-03-04,278.3431137377837,284.6897687189938,275.8062664944297,284.4715270996094,176613400
2020-03-05,277.3065542615763,280.47986769668034,272.7875239528955,275.01519775390625,186366800
2020-03-06,266.5499278155772,271.66907305303175,263.8949005253508,270.4688415527344,228667200
2020-03-09,250.31965987878343,258.40300728811127,248.6375484367583,249.34677124023438,309417300
2020-03-10,258.8121992811534,262.3401104916032,248.6830131414344,262.24920654296875,276444100
2020-03-11,255.22970801029587,256.35718336366966,246.30075363543554,249.4649658203125,255316300
2020-03-12,232.7709037137879,242.46363295605934,225.20584268346082,225.59683227539062,392220700
2020-03-13,239.21764465584525,246.8463632341434,225.96970960296665,244.88235473632812,329566100
2020-03-16,219.29568561096787,233.5892777421095,215.8223138369543,218.0863800048828,297240000
2020-03-17,222.80541986754847,232.92551813203102,215.55861886674538,229.86129760742188,262070500
